id,site_id,timestamp,generation_kwh,load_kwh,import_kwh,export_kwh,inverter_id,string_id,availability,source,is_fixture,quality_flags_json
obs_site_a_20260619_07,site_a,2026-06-19T07:00:00+08:00,0,200,200,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260619_08,site_a,2026-06-19T08:00:00+08:00,128.74,260,131.26,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260619_09,site_a,2026-06-19T09:00:00+08:00,240.21,290,49.79,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260619_10,site_a,2026-06-19T10:00:00+08:00,334.9,310,0,24.9,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260619_11,site_a,2026-06-19T11:00:00+08:00,423.4,325,0,98.4,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260619_12,site_a,2026-06-19T12:00:00+08:00,468.97,320,0,148.97,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260619_13,site_a,2026-06-19T13:00:00+08:00,473.11,315,0,158.11,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260619_14,site_a,2026-06-19T14:00:00+08:00,468.04,305,0,163.04,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260619_15,site_a,2026-06-19T15:00:00+08:00,419.23,295,0,124.23,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260619_16,site_a,2026-06-19T16:00:00+08:00,338.32,280,0,58.32,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260619_17,site_a,2026-06-19T17:00:00+08:00,247.49,270,22.51,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260619_18,site_a,2026-06-19T18:00:00+08:00,124.32,260,135.68,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260619_19,site_a,2026-06-19T19:00:00+08:00,0,190,190,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260619_20,site_a,2026-06-19T20:00:00+08:00,0,155,155,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260619_21,site_a,2026-06-19T21:00:00+08:00,0,135,135,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260619_22,site_a,2026-06-19T22:00:00+08:00,0,120,120,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260619_23,site_a,2026-06-19T23:00:00+08:00,0,112,112,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260620_00,site_a,2026-06-20T00:00:00+08:00,0,90,90,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260620_01,site_a,2026-06-20T01:00:00+08:00,0,85,85,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260620_02,site_a,2026-06-20T02:00:00+08:00,0,82,82,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260620_03,site_a,2026-06-20T03:00:00+08:00,0,80,80,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260620_04,site_a,2026-06-20T04:00:00+08:00,0,82,82,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260620_05,site_a,2026-06-20T05:00:00+08:00,0,88,88,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260620_06,site_a,2026-06-20T06:00:00+08:00,0,100,100,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260620_07,site_a,2026-06-20T07:00:00+08:00,0,115,115,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260620_08,site_a,2026-06-20T08:00:00+08:00,158.51,130,0,28.51,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260620_09,site_a,2026-06-20T09:00:00+08:00,295.8,140,0,155.8,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260620_10,site_a,2026-06-20T10:00:00+08:00,412.36,150,0,262.36,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260620_11,site_a,2026-06-20T11:00:00+08:00,521.33,155,0,366.33,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260620_12,site_a,2026-06-20T12:00:00+08:00,577.44,150,0,427.44,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260620_13,site_a,2026-06-20T13:00:00+08:00,582.53,145,0,437.53,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260620_14,site_a,2026-06-20T14:00:00+08:00,576.3,140,0,436.3,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260620_15,site_a,2026-06-20T15:00:00+08:00,516.19,135,0,381.19,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260620_16,site_a,2026-06-20T16:00:00+08:00,416.57,130,0,286.57,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260620_17,site_a,2026-06-20T17:00:00+08:00,304.76,125,0,179.76,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260620_18,site_a,2026-06-20T18:00:00+08:00,153.07,120,0,33.07,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260620_19,site_a,2026-06-20T19:00:00+08:00,0,110,110,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260620_20,site_a,2026-06-20T20:00:00+08:00,0,100,100,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260620_21,site_a,2026-06-20T21:00:00+08:00,0,95,95,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260620_22,site_a,2026-06-20T22:00:00+08:00,0,92,92,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260620_23,site_a,2026-06-20T23:00:00+08:00,0,90,90,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260621_00,site_a,2026-06-21T00:00:00+08:00,0,90,90,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260621_01,site_a,2026-06-21T01:00:00+08:00,0,85,85,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260621_02,site_a,2026-06-21T02:00:00+08:00,0,82,82,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260621_03,site_a,2026-06-21T03:00:00+08:00,0,80,80,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260621_04,site_a,2026-06-21T04:00:00+08:00,0,82,82,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260621_05,site_a,2026-06-21T05:00:00+08:00,0,88,88,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260621_06,site_a,2026-06-21T06:00:00+08:00,0,100,100,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260621_07,site_a,2026-06-21T07:00:00+08:00,0,115,115,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260621_08,site_a,2026-06-21T08:00:00+08:00,164.82,130,0,34.82,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260621_09,site_a,2026-06-21T09:00:00+08:00,305.18,140,0,165.18,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260621_10,site_a,2026-06-21T10:00:00+08:00,422.83,150,0,272.83,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260621_11,site_a,2026-06-21T11:00:00+08:00,541.3,155,0,386.3,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260621_12,site_a,2026-06-21T12:00:00+08:00,599.83,150,0,449.83,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260621_13,site_a,2026-06-21T13:00:00+08:00,594.64,145,0,449.64,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260621_14,site_a,2026-06-21T14:00:00+08:00,596.19,140,0,456.19,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260621_15,site_a,2026-06-21T15:00:00+08:00,534.59,135,0,399.59,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260621_16,site_a,2026-06-21T16:00:00+08:00,426.06,130,0,296.06,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260621_17,site_a,2026-06-21T17:00:00+08:00,316.55,125,0,191.55,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260621_18,site_a,2026-06-21T18:00:00+08:00,157.15,120,0,37.15,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260621_19,site_a,2026-06-21T19:00:00+08:00,0,110,110,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260621_20,site_a,2026-06-21T20:00:00+08:00,0,100,100,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260621_21,site_a,2026-06-21T21:00:00+08:00,0,95,95,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260621_22,site_a,2026-06-21T22:00:00+08:00,0,92,92,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_a_20260621_23,site_a,2026-06-21T23:00:00+08:00,0,90,90,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260618_00,site_b,2026-06-18T00:00:00+08:00,0,35,35,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260618_01,site_b,2026-06-18T01:00:00+08:00,0,32,32,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260618_02,site_b,2026-06-18T02:00:00+08:00,0,30,30,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260618_03,site_b,2026-06-18T03:00:00+08:00,0,30,30,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260618_04,site_b,2026-06-18T04:00:00+08:00,0,32,32,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260618_05,site_b,2026-06-18T05:00:00+08:00,0,35,35,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260618_06,site_b,2026-06-18T06:00:00+08:00,0,40,40,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260618_07,site_b,2026-06-18T07:00:00+08:00,0,45,45,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260618_08,site_b,2026-06-18T08:00:00+08:00,461.87,55,0,406.87,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260618_09,site_b,2026-06-18T09:00:00+08:00,887.76,60,0,827.76,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260618_10,site_b,2026-06-18T10:00:00+08:00,1250.5,65,0,1185.5,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260618_11,site_b,2026-06-18T11:00:00+08:00,1526.18,70,0,1456.18,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260618_12,site_b,2026-06-18T12:00:00+08:00,1698.73,70,0,1628.73,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260618_13,site_b,2026-06-18T13:00:00+08:00,1757.36,68,0,1689.36,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260618_14,site_b,2026-06-18T14:00:00+08:00,1698.73,65,0,1633.73,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260618_15,site_b,2026-06-18T15:00:00+08:00,1526.18,60,0,1466.18,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260618_16,site_b,2026-06-18T16:00:00+08:00,1250.5,55,0,1195.5,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260618_17,site_b,2026-06-18T17:00:00+08:00,887.76,50,0,837.76,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260618_18,site_b,2026-06-18T18:00:00+08:00,461.87,45,0,416.87,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260618_19,site_b,2026-06-18T19:00:00+08:00,0,42,42,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260618_20,site_b,2026-06-18T20:00:00+08:00,0,40,40,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260618_21,site_b,2026-06-18T21:00:00+08:00,0,38,38,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260618_22,site_b,2026-06-18T22:00:00+08:00,0,36,36,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260618_23,site_b,2026-06-18T23:00:00+08:00,0,35,35,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260619_00,site_b,2026-06-19T00:00:00+08:00,0,35,35,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260619_01,site_b,2026-06-19T01:00:00+08:00,0,32,32,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260619_02,site_b,2026-06-19T02:00:00+08:00,0,30,30,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260619_03,site_b,2026-06-19T03:00:00+08:00,0,30,30,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260619_04,site_b,2026-06-19T04:00:00+08:00,0,32,32,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260619_05,site_b,2026-06-19T05:00:00+08:00,0,35,35,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260619_06,site_b,2026-06-19T06:00:00+08:00,0,40,40,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260619_07,site_b,2026-06-19T07:00:00+08:00,0,45,45,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260619_08,site_b,2026-06-19T08:00:00+08:00,442.73,55,0,387.73,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260619_09,site_b,2026-06-19T09:00:00+08:00,850.97,60,0,790.97,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260619_10,site_b,2026-06-19T10:00:00+08:00,1198.47,65,0,1133.47,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260619_11,site_b,2026-06-19T11:00:00+08:00,1462.84,70,0,1392.84,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260619_12,site_b,2026-06-19T12:00:00+08:00,1628.31,70,0,1558.31,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260619_13,site_b,2026-06-19T13:00:00+08:00,1684.37,68,0,1616.37,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260619_14,site_b,2026-06-19T14:00:00+08:00,1628.31,65,0,1563.31,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260619_15,site_b,2026-06-19T15:00:00+08:00,1462.84,60,0,1402.84,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260619_16,site_b,2026-06-19T16:00:00+08:00,1198.47,55,0,1143.47,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260619_17,site_b,2026-06-19T17:00:00+08:00,850.97,50,0,800.97,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260619_18,site_b,2026-06-19T18:00:00+08:00,442.73,45,0,397.73,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260619_19,site_b,2026-06-19T19:00:00+08:00,0,42,42,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260619_20,site_b,2026-06-19T20:00:00+08:00,0,40,40,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260619_21,site_b,2026-06-19T21:00:00+08:00,0,38,38,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260619_22,site_b,2026-06-19T22:00:00+08:00,0,36,36,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260619_23,site_b,2026-06-19T23:00:00+08:00,0,35,35,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260620_00,site_b,2026-06-20T00:00:00+08:00,0,35,35,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260620_01,site_b,2026-06-20T01:00:00+08:00,0,32,32,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260620_02,site_b,2026-06-20T02:00:00+08:00,0,30,30,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260620_03,site_b,2026-06-20T03:00:00+08:00,0,30,30,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260620_04,site_b,2026-06-20T04:00:00+08:00,0,32,32,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260620_05,site_b,2026-06-20T05:00:00+08:00,0,35,35,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260620_06,site_b,2026-06-20T06:00:00+08:00,0,40,40,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260620_07,site_b,2026-06-20T07:00:00+08:00,0,45,45,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260620_08,site_b,2026-06-20T08:00:00+08:00,457.08,55,0,402.08,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260620_09,site_b,2026-06-20T09:00:00+08:00,878.79,60,0,818.79,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260620_10,site_b,2026-06-20T10:00:00+08:00,1237.58,65,0,1172.58,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260620_11,site_b,2026-06-20T11:00:00+08:00,1238.74,70,0,1168.74,inverter_3,,1.0,demo_fixture,True,"[""fixture_data"",""seeded_inverter_underperformance""]"
obs_site_b_20260620_12,site_b,2026-06-20T12:00:00+08:00,1378.86,70,0,1308.86,inverter_3,,1.0,demo_fixture,True,"[""fixture_data"",""seeded_inverter_underperformance""]"
obs_site_b_20260620_13,site_b,2026-06-20T13:00:00+08:00,1426.33,68,0,1358.33,inverter_3,,1.0,demo_fixture,True,"[""fixture_data"",""seeded_inverter_underperformance""]"
obs_site_b_20260620_14,site_b,2026-06-20T14:00:00+08:00,1378.86,65,0,1313.86,inverter_3,,1.0,demo_fixture,True,"[""fixture_data"",""seeded_inverter_underperformance""]"
obs_site_b_20260620_15,site_b,2026-06-20T15:00:00+08:00,1238.74,60,0,1178.74,inverter_3,,1.0,demo_fixture,True,"[""fixture_data"",""seeded_inverter_underperformance""]"
obs_site_b_20260620_16,site_b,2026-06-20T16:00:00+08:00,1237.58,55,0,1182.58,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260620_17,site_b,2026-06-20T17:00:00+08:00,878.79,50,0,828.79,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260620_18,site_b,2026-06-20T18:00:00+08:00,457.08,45,0,412.08,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260620_19,site_b,2026-06-20T19:00:00+08:00,0,42,42,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260620_20,site_b,2026-06-20T20:00:00+08:00,0,40,40,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260620_21,site_b,2026-06-20T21:00:00+08:00,0,38,38,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260620_22,site_b,2026-06-20T22:00:00+08:00,0,36,36,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260620_23,site_b,2026-06-20T23:00:00+08:00,0,35,35,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260621_00,site_b,2026-06-21T00:00:00+08:00,0,35,35,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260621_01,site_b,2026-06-21T01:00:00+08:00,0,32,32,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260621_02,site_b,2026-06-21T02:00:00+08:00,0,30,30,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260621_03,site_b,2026-06-21T03:00:00+08:00,0,30,30,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260621_04,site_b,2026-06-21T04:00:00+08:00,0,32,32,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260621_05,site_b,2026-06-21T05:00:00+08:00,0,35,35,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260621_06,site_b,2026-06-21T06:00:00+08:00,0,40,40,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260621_07,site_b,2026-06-21T07:00:00+08:00,0,45,45,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260621_08,site_b,2026-06-21T08:00:00+08:00,471.23,55,0,416.23,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260621_09,site_b,2026-06-21T09:00:00+08:00,905.87,60,0,845.87,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260621_10,site_b,2026-06-21T10:00:00+08:00,1275.67,65,0,1210.67,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260621_11,site_b,2026-06-21T11:00:00+08:00,1276.96,70,0,1206.96,inverter_3,,1.0,demo_fixture,True,"[""fixture_data"",""seeded_inverter_underperformance""]"
obs_site_b_20260621_12,site_b,2026-06-21T12:00:00+08:00,1421.34,70,0,1351.34,inverter_3,,1.0,demo_fixture,True,"[""fixture_data"",""seeded_inverter_underperformance""]"
obs_site_b_20260621_13,site_b,2026-06-21T13:00:00+08:00,1470.44,68,0,1402.44,inverter_3,,1.0,demo_fixture,True,"[""fixture_data"",""seeded_inverter_underperformance""]"
obs_site_b_20260621_14,site_b,2026-06-21T14:00:00+08:00,1421.34,65,0,1356.34,inverter_3,,1.0,demo_fixture,True,"[""fixture_data"",""seeded_inverter_underperformance""]"
obs_site_b_20260621_15,site_b,2026-06-21T15:00:00+08:00,1276.96,60,0,1216.96,inverter_3,,1.0,demo_fixture,True,"[""fixture_data"",""seeded_inverter_underperformance""]"
obs_site_b_20260621_16,site_b,2026-06-21T16:00:00+08:00,1275.67,55,0,1220.67,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260621_17,site_b,2026-06-21T17:00:00+08:00,905.87,50,0,855.87,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260621_18,site_b,2026-06-21T18:00:00+08:00,471.23,45,0,426.23,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260621_19,site_b,2026-06-21T19:00:00+08:00,0,42,42,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260621_20,site_b,2026-06-21T20:00:00+08:00,0,40,40,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260621_21,site_b,2026-06-21T21:00:00+08:00,0,38,38,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260621_22,site_b,2026-06-21T22:00:00+08:00,0,36,36,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
obs_site_b_20260621_23,site_b,2026-06-21T23:00:00+08:00,0,35,35,0,,,1.0,demo_fixture,True,"[""fixture_data""]"
